kata_asli,kata_stemmed
klinis,klinis
kali,kali
berat,berat
esensial,esensial
operasionalisasi,operasionalisasi
rumah,rumah
sakit,sakit
perlindungan,perlindung
hukum,hukum
selayaknya,layak
tenaga,tenaga
kerja,kerja
jaminan,jamin
sosial,sosial
Etika,Etika
kedokteran,dokter
buku,buku
praktik,praktik
Di,D
bangku,bangku
kuliah,kuliah
mahasiswa,mahasiswa
kedokteran,dokter
diajarkan,ajar
kode,kode
etik,etik
profesi,profesi
Dalam,Dalam
Kode,Kode
Etik,Etik
Kedokteran,Kedokter
Indonesia,Indonesia
Kodeki,Kodek
tertulis,tulis
dokter,dokter
wajib,wajib
menjunjung,junjung
martabat,martabat
kemanusiaan,manusia
menghormati,hormat
hak,hak
pasien,pasien
sejawat,jawat
bertindak,tindak
berdasarkan,dasar
integritas,integritas
moral,moral
Dalam,Dalam
realitas,realitas
sistem,sistem
PPDS,PPDS
prinsip,prinsip
prinsip,prinsip
kerap,kerap
dibenturkan,bentur
kultur,kultur
mengakar,akar
seniorisme,seniorisme
tekanan,tekan
akademik,akademik
pembiaran,biar
kekerasan,keras
simbolik,simbolik
fisik,fisik
nama,nama
pendidikan,pendid
Etika,Etika
profesi,profesi
berhenti,berhent
teks,teks
praktik,praktik
dijalani,jalan
Padahal,Padahal
UU,UU
Nomor,Nomor
29,29
Tahun,Tahun
2004,2004
Praktik,Praktik
Kedokteran,Kedokter
tenaga,tenaga
medis,medis
dokter,dokter
menempuh,menempuh
pendidikan,pendid
tunduk,tunduk
prinsip,prinsip
etik,etik
bertanggung,tanggung
tindakannya,tinda
Kekerasan,Kekeras
kekerasan,keras
seksual,seksual
ditoleransi,ditolerans
bentuk,bentuk
alasan,alas
institusi,institusi
pendidikan,pendid
kedokteran,dokter
Relasi,Relas
kuasa,kuasa
kesehatan,sehat
mental,mental
pengawasan,awas
Hal,Hal
mengkhawatirkan,khawatir
sistem,sistem
relasi,relasi
kuasa,kuasa
timpang,timpang
residen,residen
pembimbing,bimbing
residen,residen
senior,senior
yunior,yunior
Dalam,Dalam
kondisi,kondisi
pengawasan,awas
lemah,lemah
Banyak,Banyak
institusi,institusi
kedokteran,dokter
memiliki,milik
mekanisme,mekanisme
pelaporan,lapor
kekerasan,keras
pelecehan,leceh
aman,aman
berpihak,pihak
korban,korban
Tak,Tak
kalah,kalah
kesehatan,sehat
mental,mental
Tekanan,Tekan
akademik,akademik
beban,beban
kerja,kerja
klinis,klinis
isolasi,isolasi
sosial,sosial
dialami,alam
peserta,serta
PPDS,PPDS
pemicu,pemicu
stres,stres
kronis,kronis
kecemasan,cemas
gangguan,ganggu
perilaku,perilaku
Sayangnya,Sayang
sistem,sistem
menjadikan,menjad
asesmen,asesmen
kesehatan,sehat
mental,mental
standar,standar
wajib,wajib
seleksi,seleksi
evaluasi,evaluasi
berkala,kala
residen,residen
Padahal,Padahal
alat,alat
minnesota,minnesota
multiphasic,multiphasic
personality,personality
inventory,inventory
MMPI,MMPI
luas,luas
dunia,dunia
psikologi,psikologi
klinis,klinis
seleksi,seleksi
pekerjaan,kerja
berisiko,risiko
membantu,bantu
mengidentifikasi,mengidentifikas
potensi,potensi
psikologis,psikologis
gangguan,ganggu
kepribadian,kepribad
kecenderungan,cenderung
agresif,agresif
tersembunyi,tersembuny
Bila,Bila
diterapkan,terap
bijak,bijak
tes,tes
pagar,pagar
mencegah,cegah
orang,orang
orang,orang
risiko,risiko
masuk,masuk
sistem,sistem
pendidikan,pendid
menuntut,untut
stabilitas,stabilitas
emosi,emosi
kemampuan,mampu
relasi,relasi
interpersonal,interpersonal
Solusi,Solus
saran,saran
Reformasi,Reformas
sistem,sistem
PPDS,PPDS
keharusan,harus
opsi,opsi
Pemerintah,Pemerintah
Kementerian,Kementer
Kesehatan,Kesehat
Kementerian,Kementer
Pendidikan,Pendid
Tinggi,Tingg
Sains,Sains
Teknologi,Teknolog
langkah,langkah
konkret,konkret
Agar,Agar
berulang,ulang
sistem,sistem
berpihak,pihak
keselamatan,selamat
pertumbuhan,pertumbuh
peserta,serta
didik,didik
langkah,langkah
konkret,konkret
diterapkan,terap
1,1
Penegasan,Penegas
status,status
hukum,hukum
PPDS,PPDS
Pemerintah,Pemerintah
menetapkan,menetap
status,status
hukum,hukum
PPDS,PPDS
dibiarkan,biar
mengambang,ambang
mahasiswa,mahasiswa
tenaga,tenaga
kerja,kerja
Status,Status
hak,hak
perlindungan,perlindung
batasan,batas
kewajiban,wajib
adil,adil
hukum,hukum
2,2
Mekanisme,Mekanisme
pelaporan,lapor
aman,aman
independent,independent
Setiap,Setiap
rumah,rumah
sakit,sakit
pendidikan,pendid
institusi,institusi
kedokteran,dokter
wajib,wajib
memiliki,milik
unit,unit
pengaduan,adu
independen,independen
berpihak,pihak
korban,korban
memiliki,milik
kekuatan,kuat
mengintervensi,mengintervens
Anonimitas,Anonimitas
keamanan,aman
pelapor,lapor
tindakan,tinda
responsif,responsif
standar,standar
3,3
Tes,Tes
kejiwaan,jiwa
konseling,konseling
psikologis,psikologis
berkala,kala
Asesmen,Asesmen
psikologis,psikologis
MMPI,MMPI
syarat,syarat
wajib,wajib
proses,proses
seleksi,seleksi
calon,calon
residen,residen
Tapi,Tap
situ,situ
pendampingan,damping
psikologis,psikologis
berkala,kala
pendidikan,pendid
diinstitusikan,diinstitus
dianggap,anggap
beban,beban
Tujuannya,Tuju
mencari,mencar
cari,cari
kelemahan,lemah
mental,mental
membantu,bantu
peserta,serta
didik,didik
memahami,memaham
batas,batas
stresnya,stres
mengenali,mengenal
emosi,emosi
memproses,proses
tekanan,tekan
sehat,sehat
Konseling,Konseling
tanda,tanda
lemah,lemah
pelatihan,latih
dokter,dokter
utuh,utuh
Hal,Hal
disebabkan,sebab
merawat,rawat
orang,orang
dirawat,rawat
Menanamkan,Menanam
etika,etika
hierarki,hierarki
toksik,toksik
Salah,Sa
akar,akar
terbesar,besar
sistem,sistem
pendidikan,pendid
dokter,dokter
spesialis,spesialis
Indonesia,Indonesia
budaya,budaya
senioritas,senioritas
jarang,jarang
berubah,ubah
kekuasaan,kuasa
Padahal,Padahal
etika,etika
tumbuh,tumbuh
takut,takut
peneladanan,peneladan
dialog,dialog
sehat,sehat
Kita,Kita
membangun,bangun
model,model
relasi,relasi
berdasarkan,dasar
hierarki,hierarki
prinsip,prinsip
dasar,dasar
1,1
Respect,Respect
takut,takut
Yang,Yang
muda,muda
menghormati,hormat
tua,tua
takut,takut
dibentak,bentak
diintimidasi,diintimidas
menghargai,harga
ilmu,ilmu
pengalaman,alam
dedikasi,dedikasi
Sebaliknya,Sebalik
tua,tua
pembimbing,bimbing
kaka,kaka
kelas,kelas
sadar,sadar
hormat,hormat
dipaksa,paksa
ditumbuhkan,tumbuh
keteladanan,teladan
kebaikan,keba
keadilan,adil
2,2
Sistem,Sistem
mentoring,mentoring
formal,formal
Senioritas,Senioritas
digantikan,digant
mentoring,mentoring
Artinya,Art
peserta,serta
didik,didik
menjalani,jalan
pendidikan,pendid
diarahkan,arah
mentor,mentor
penguasa,penguasa
informal,informal
Mereka,Mereka
dibekali,bekal
pelatihan,latih
komunikasi,komunikasi
etika,etika
tanggung,tanggung
pembina,bina
karakter,karakter
penjaga,jaga
tradisi,tradisi
keras,keras
3,3
Evaluasi,Evaluas
etika,etika
budaya,budaya
semester,semester
Sama,Sama
ujian,uji
akademik,akademik
evaluasi,evaluasi
iklim,iklim
etik,etik
psikososial,psikososial
lingkungan,lingkung
pendidikan,pendid
spesialis,spesialis
berkala,kala
Apakah,Apa
peserta,serta
aman,aman
Apakah,Apa
nilai,nilai
menghargai,harga
dijalankan,dijal
Survei,Surve
dijadikan,dijad
dasar,dasar
reformasi,reformasi
internal,internal
berkelanjutan,berkelanjut
Mendidik,Mendidik
nilai,nilai
ilmu,ilmu
Pendidikan,Pendid
kedokteran,dokter
mencetak,cetak
dokter,dokter
keterampilan,terampil
klinis,klinis
mumpuni,mumpuni
Tetapi,Tetap
membentuk,bentuk
pribadi,pribadi
mendengar,dengar
memahami,memaham
merawat,rawat
manusia,manusia
empati,empati
Kita,Kita
rumah,rumah
sakit,sakit
alat,alat
tercanggih,canggih
lulusan,lulus
nilai,nilai
akademik,akademik
terbaik,baik
sistemnya,sistem
membiarkan,biar
kekerasan,keras
membungkam,bungkam
korban,korban
memproduksi,memproduks
dokter,dokter
dokter,dokter
dingin,dingin
moral,moral
gagal,gagal
bangsa,bangsa
Saatnya,Saat
mengganti,menggant
kultur,kultur
kekerasan,keras
kultur,kultur
kepedulian,kepedul
Hal,Hal
diterapkan,terap
menghapus,hapus
nilai,nilai
nilai,nilai
luhur,luhur
hormat,hormat
disiplin,disiplin
pengabdian,pengabd
Kita,Kita
menata,menata
ulang,ulang
sistem,sistem
dokter,dokter
profesional,profesional
manusia,manusia
seutuhnya,utuh
Jika,Jika
sistem,sistem
kesehatan,sehat
Indonesia,Indonesia
kuat,kuat
investasinya,investasi
didik,didik
Sudah,Sudah
berhenti,berhent
menutup,menutup
mata,mata
Karena,Karena
jas,jas
putih,putih
jiwa,jiwa
diselamatkan,selamat
Nilai,Nila
tukar,tukar
rupiah,rupiah
mengalami,alam
tekanan,tekan
berat,berat
mendekati,dekat
Rp,Rp
17,17
000,000
dollar,dollar
AS,AS
level,level
krisis,krisis
moneter,moneter
1998,1998
Padahal,Padahal
fundamental,fundamental
ekonomi,ekonomi
Indonesia,Indonesia
pertumbuhan,pertumbuh
ekonomi,ekonomi
5,5
persen,persen
inflasi,inflasi
rendah,rendah
deflasi,deflasi
Ditambah,Ditambah
neraca,neraca
perdagangan,perdagang
surplus,surplus
58,58
Nilai,Nila
tukar,tukar
rupiah,rupiah
terkait,kait
masuk,masuk
keluarnya,keluar
modal,modal
pasar,pasar
keuangan,uang
Aliran,Alir
modal,modal
pasar,pasar
modal,modal
obligasi,obligasi
menyebabkan,menyebab
Indeks,Indeks
Harga,Harga
Saham,Saham
Gabungan,Gabung
IHSG,IHSG
Bursa,Bursa
Efek,Efek
Indonesia,Indonesia
anjlok,anjlok
imbal,imbal
hasil,hasil
yield,yield
surat,surat
utang,utang
negara,negara
SUN,SUN
bertenor,tenor
sepuluh,puluh
signifikan,signifikan
7,7
persen,persen
Kebijakan,Kebija
tarif,tarif
bea,bea
masuk,masuk
produk,produk
impor,impor
diterapkan,terap
Presiden,Presiden
AS,AS
Donald,Donald
Trump,Trump
menyebabkan,menyebab
pelarian,pelar
modal,modal
negara,negara
berkembang,kembang
Indonesia,Indonesia
Secara,Secara
internal,internal
realokasi,realokasi
anggaran,anggar
negara,negara
program,program
Makan,Ma
Bergizi,Bergiz
Gratis,Gratis
pemerintahan,pemerintah
Prabowo,Prabowo
memicu,memicu
kekhawatiran,khawatir
melemahkan,lemah
pertumbuhan,pertumbuh
ekonomi,ekonomi
Indonesia,Indonesia
Pembentukan,Pembentu
Danantara,Danantara
mengalihkan,alih
aset,aset
dividen,dividen
BUMN,BUMN
sovereign,sovereign
wealth,wealth
fund,fund
SWF,SWF
dikhawatirkan,khawatir
melemahkan,lemah
kinerja,kinerja
BUMN,BUMN
memunculkan,muncul
potensi,potensi
penyalahgunaan,penyalahguna
BUMN,BUMN
Sementara,Sementara
pemerintah,pemerintah
kebijakan,kebija
program,program
ditambah,tambah
hilirisasi,hilirisas
menaikkan,naik
pertumbuhan,pertumbuh
ekonomi,ekonomi
Indonesia,Indonesia
8,8
persen,persen
Namun,Namun
meragukan,ragu
Presiden,Presiden
Prabowo,Prabowo
khawatir,khawatir
pelemahan,lemah
indeks,indeks
saham,saham
menyebabkan,menyebab
aliran,alir
modal,modal
memicu,memicu
pelemahan,lemah
nilai,nilai
tukar,tukar
rupiah,rupiah
signifikan,signifikan
Menurut,Menurut
Presiden,Presiden
ekonomi,ekonomi
masyarakat,masyarakat
kebanyakan,kebanya
berjalan,berjal
Para,Para
menteri,menteri
ekonomi,ekonomi
mengkhawatirkan,khawatir
fundamental,fundamental
ekonomi,ekonomi
diandalkan,andal
Namun,Namun
pelemahan,lemah
rupiah,rupiah
berkelanjutan,berkelanjut
ketidakpastian,ketidakpast
mengganggu,ganggu
kegiatan,giat
perekonomian,perekonom
Nilai,Nila
mata,mata
uang,uang
harga,harga
relatif,relatif
mata,mata
uang,uang
dollar,dollar
AS,AS
melemah,lemah
tajam,tajam
stabil,stabil
memengaruhi,memengaruh
fundamental,fundamental
perekonomian,perekonom
Apalagi,Apalag
ditambah,tambah
tekanan,tekan
tarif,tarif
AS,AS
memberatkan,berat
mengancam,ancam
neraca,neraca
perdagangan,perdagang
Kewibawaan,Kewibawa
kebijakan,kebija
Nilai,Nila
rupiah,rupiah
ditentukan,tentu
penawaran,awar
permintaan,perminta
Persepsi,Perseps
ekspektasi,ekspektas
pelaku,pela
ekonomi,ekonomi
investor,investor
sektor,sektor
keuangan,uang
menentukan,menentu
dominan,dominan
Sayangnya,Sayang
persepsi,persepsi
rupiah,rupiah
cenderung,cenderung
menganggap,anggap
rupiah,rupiah
mata,mata
uang,uang
lemah,lemah
diandalkan,andal
Ekspektasi,Ekspektas
rupiah,rupiah
cenderung,cenderung
mengalami,alam
pelemahan,lemah
Dalam,Dalam
anggaran,anggar
pemerintah,pemerintah
rencana,rencana
bisnis,bisnis
perusahaan,perusaha
nilai,nilai
tukar,tukar
rupiah,rupiah
diproyeksikan,diproyeks
mengalami,alam
pelemahan,lemah
Sekalipun,Sekal
Bank,Bank
Indonesia,Indonesia
BI,BI
meredam,redam
volatilitas,volatilitas
nilai,nilai
rupiah,rupiah
menjaga,jaga
depresiasi,depresiasi
melebihi,lebih
persentase,persentase
persepsi,persepsi
ekspektasi,ekspektas
negatif,negatif
nilai,nilai
tukar,tukar
melemah,lemah
Apalagi,Apalag
pelemahan,lemah
fundamental,fundamental
ekonomi,ekonomi
taruhan,taruh
Nilai,Nila
tukar,tukar
rupiah,rupiah
dipengaruhi,pengaruh
kewibawaan,wibawa
BI,BI
otoritas,otoritas
bertanggung,tanggung
stabilitas,stabilitas
rupiah,rupiah
BI,BI
dinilai,nila
independen,independen
membiayai,biaya
defisit,defisit
anggaran,anggar
bersifat,sifat
pandemi,pandemi
berkelanjutan,berkelanjut
era,era
pemerintahan,pemerintah
Prabowo,Prabowo
Sekitar,Sekitar
26,26
persen,persen
SUN,SUN
dipegang,pegang
BI,BI
24,24
persen,persen
dipegang,pegang
perbankan,perban
Kondisi,Kondis
berbeda,beda
Indonesia,Indonesia
berupaya,upaya
mengatasi,atas
krisis,krisis
1998,1998
Saat,Saat
BI,BI
independen,independen
langkah,langkah
rekapitalisasi,rekapitalisasi
perbankan,perban
stabilisasi,stabilisasi
inflasi,inflasi
kredibilitas,kredibilitas
BI,BI
bangkit,bangkit
berperan,per
rupiah,rupiah
menguat,menguat
signifikan,signifikan
Presiden,Presiden
BJ,BJ
Habibie,Habibie
ekonomi,ekonomi
rupiahnya,rupiah
pesawat,pesawat
terbang,terbang
jatuh,jatuh
bebas,bebas
stahl,stahl
distabilkan,stabil
terbang,terbang
menanjak,anjak
ascend,ascend
menjelajah,jelajah
cruising,cruising
tujuan,tuju
Jelas,Jelas
kredibilitas,kredibilitas
kebijakan,kebija
independensi,independens
bank,bank
sentral,sentral
menentukan,menentu
Program,Program
stabilisasi,stabilisasi
Dana,Dana
Moneter,Moneter
Internasional,Internasional
IMF,IMF
berat,berat
konsisten,konsisten
dijalankan,dijal
Kredibilitas,Kredibilitas
kebijakan,kebija
ekonomi,ekonomi
terpuruk,puruk
dibangkitkan,bangkit
Maka,Maka
rupiah,rupiah
menguat,menguat
Rp,Rp
16,16
700,700
an,
Rp,Rp
6,6
700,700
an,
dollar,dollar
AS,AS
Sekarang,Sekarang
tekanan,tekan
politik,politik
pemerintah,pemerintah
mendukung,dukung
kebijakan,kebija
programnya,program
sejalan,sejal
prinsip,prinsip
ekonomi,ekonomi
upaya,upaya
menjaga,jaga
independensi,independens
BI,BI
mengalami,alam
kesulitan,sulit
Keadaan,Keada
ekonomi,ekonomi
cadangan,cadang
devisa,devisa
meningkat,meningkat
Yang,Yang
melemah,lemah
kewibawaan,wibawa
efektivitas,efektivitas
kebijakan,kebija
Pengenaan,Pengena
tarif,tarif
impor,impor
AS,AS
menambah,ambah
tekanan,tekan
nilai,nilai
tukar,tukar
rupiah,rupiah
perekonomian,perekonom
Menyelaraskan,Menyelaras
kebijakan,kebija
BI,BI
intervensi,intervensi
pasar,pasar
keuangan,uang
menstabilkan,stabil
nilai,nilai
tukar,tukar
mata,mata
uang,uang
Langkah,Lang
membutuhkan,butuh
biaya,biaya
menambah,ambah
beban,beban
Volume,Volume
cadangan,cadang
devisa,devisa
kebijakan,kebija
mewajibkan,wajib
eksportir,eksportir
sumber,sumber
daya,daya
alam,alam
menyimpan,menyimp
devisa,devisa
ekspornya,ekspor
negeri,negeri
mengalami,alam
peningkatan,peningkat
Namun,Namun
kewibawaan,wibawa
otoritas,otoritas
moneter,moneter
menentukan,menentu
stabilitas,stabilitas
rupiah,rupiah
keuangan,uang
Karena,Karena
kewibawaan,wibawa
ditegakkan,tegak
cadangan,cadang
devisa,devisa
ditingkatkan,tingkat
intervensi,intervensi
pasar,pasar
terukur,ukur
koordinasi,koordinasi
kebijakan,kebija
ekonomi,ekonomi
konstruktif,konstruktif
upaya,upaya
mendorong,dorong
aliran,alir
modal,modal
negeri,negeri
Menghadapi,Menghadap
pengenaan,gena
tarif,tarif
resiprokal,resiprokal
32,32
persen,persen
Trump,Trump
penerapannya,penerap
ditangguhkan,tangguh
90,90
kemampuan,mampu
diplomasi,diplomasi
Indonesia,Indonesia
bernegosiasi,bernegosias
krusial,krusial
Indonesia,Indonesia
posisi,posisi
retaliasi,retalias
Tarif,Tarif
resiprokal,resiprokal
AS,AS
balasan,balas
bea,bea
masuk,masuk
persyaratan,persyarat
tingkat,tingkat
komponen,komponen
negeri,negeri
TKDN,TKDN
keharusan,harus
menyimpan,menyimp
penerimaan,penerima
ekspor,ekspor
negeri,negeri
hambatan,hambat
perdagangan,perdagang
diterapkan,terap
Indonesia,Indonesia
Tanpa,Tanpa
rezim,rezim
internasional,internasional
kuat,kuat
ditegakkan,tegak
negara,negara
negara,negara
bergerak,gerak
bidang,bidang
antariksa,antariksa
mengulangi,ulang
kesalahan,salah
era,era
eksplorasi,eksplorasi
imperialisme,imperialisme
okupasi,okupasi
Yang,Yang
berubah,ubah
era,era
penjelajahan,jelajah
antariksa,antariksa
supremasisme,supremasisme
mendominasi,mendominas
menguasai,menguasa
mengontrol,mengontrol
entitas,entitas
kelompoknya,kelompok
Didukung,Didukung
kekuatan,kuat
modal,modal
teknologi,teknologi
mutakhir,mutakhir
hasrat,hasrat
superior,superior
menemukan,menemu
jalan,jalan
Eksploitasi,Eksploitas
orbit,orbit
Bumi,Bum
Meskipun,Mesk
tonggak,tonggak
tata,tata
kelola,kelola
antariksa,antariksa
Outer,Outer
Space,Space
Treaty,Treaty
OST,OST
1967,1967
komprehensif,komprehensif
membahas,bahas
okupasi,okupasi
orbit,orbit
Perjanjian,Perjanj
internasional,internasional
meramalkan,ramal
melarang,larang
penyebaran,penyebar
satelit,satelit
kendali,kendali
mengakibatkan,akibat
pendudukan,pendudu
ruang,ruang
orbit,orbit
Bumi,Bum
de,de
facto,facto
Katalog,Katalog
Orbit,Orbit
Satelit,Satelit
Bumi,Bum
Badan,Bad
Penerbangan,Penerbang
Antariksa,Antariksa
NASA,NASA
Amerika,Amerika
Serikat,Serikat
satelit,satelit
diluncurkan,luncur
orbit,orbit
Bumi,Bum
rendah,rendah
Jumlahnya,Jumlah
kian,kian
bertambah,tambah
Lima,Lima
satelit,satelit
diluncurkan,luncur
60,60
satelit,satelit
mencapai,capa
orbit,orbit
minggu,minggu
Amerika,Amerika
Serikat,Serikat
terdepan,terdep
Starlink,Starlink
dioperasikan,dioperas
SpaceX,SpaceX
milik,milik
Elon,Elon
Musk,Musk
Data,Data
statistik,statistik
peluncuran,luncur
Starlink,Starlink
dirangkum,rangkum
Februari,Februar
2025,2025
7,7
086,086
satelit,satelit
orbit,orbit
42,42
000,000
satelit,satelit
rencana,rencana
megakonstelasinya,megakonstelas
Ruang,Ruang
orbit,orbit
Bumi,Bum
rendah,rendah
ditempati,tempat
satelit,satelit
terbatas,batas
Itu,Itu
fokus,fokus
berbeda,beda
visioner,visioner
Indonesia,Indonesia
negara,negara
negara,negara
khatulistiwa,khatulistiwa
mengeluarkan,mengeluar
Deklarasi,Deklaras
Bogota,Bogota
1976,1976
mendorong,dorong
pengakuan,aku
dunia,dunia
hubungan,hubung
khusus,khusus
orbit,orbit
geostasioner,geostasioner
Dominasi,Dominas
ruang,ruang
orbit,orbit
menimbulkan,menimbul
kritik,kritik
protes,protes
keras,keras
negara,negara
negara,negara
lambat,lambat
berpartisipasi,berpartisipas
lawan,lawan
politik,politik
AS,AS
sekutunya,sekutu
China,China
melayangkan,layang
keluhan,keluh
Perserikatan,Perserikat
Bangsa,Bangsa
Bangsa,Bangsa
gangguan,ganggu
operasi,operasi
satelit,satelit
Rencana,Rencana
tindakan,tinda
balasan,balas
China,China
ancaman,ancam
Rusia,Rusia
satelit,satelit
komunikasi,komunikasi
Starlink,Starlink
dipakai,dipaka
Ukraina,Ukraina
garis,garis
Kolonialisme,Kolonialisme
kontemporer,kontemporer
berbahaya,bahaya
klaim,klaim
kepemilikan,kepemil
de,de
facto,facto
pernyataan,pernyata
kepemilikannya,kepemil
bersifat,sifat
pasif,pasif
berkembang,kembang
ambiguitas,ambiguitas
hukum,hukum
mekanisme,mekanisme
penegakan,penega
hukum,hukum
Penulis,Penulis
setuju,tuju
gagasan,gagas
Moriba,Moriba
Jah,Jah
AIAA,AIAA
2023,2023
mengartikan,mengart
okupasi,okupasi
pasif,pasif
diam,diam
diam,diam
bentuk,bentuk
klaim,klaim
kepemilikan,kepemil
pengelolaan,pengelola
Mereka,Mereka
pendudukan,pendudu
orbit,orbit
terbuka,buka
memiliki,milik
prioritas,prioritas
operasional,operasional
ruang,ruang
duduki,duduk
arti,arti
mengklaim,klaim
hak,hak
Dengan,Deng
tindakan,tinda
hukum,hukum
okupasi,okupasi
ruang,ruang
orbit,orbit
implisit,implisit
klaim,klaim
ruang,ruang
penegasan,penegas
kepemilikan,kepemil
diam,diam
diam,diam
Paradoks,Paradoks
warisan,waris
umat,umat
manusia,manusia
Tanggapan,Tanggap
keras,keras
dominasi,dominasi
ruang,ruang
orbit,orbit
bernasib,nasib
Deklarasi,Deklaras
Bogota,Bogota
Tidak,Tidak
berbeda,beda
Perjanjian,Perjanj
Bulan,Bul
1979,1979
ditolak,tolak
memunculkan,muncul
ketentuan,tentu
sumber,sumber
daya,daya
benda,benda
benda,benda
langit,langit
warisan,waris
umat,umat
manusia,manusia
Perjanjian,Perjanj
Bulan,Bul
gagal,gagal
kurangnya,kurang
dukungan,dukung
spacefaring,spacefaring
nations,nations
Isu,Isu
isu,isu
utama,utama
kekhawatiran,khawatir
pembatasan,batas
hak,hak
milik,milik
pribadi,pribadi
komersialisasi,komersialisasi
ruang,ruang
angkasa,angkasa
menyebabkan,menyebab
negara,negara
enggan,enggan
menandatangani,menandatangan
perjanjian,perjanj
Oleh,Oleh
kritikus,kritikus
Barat,Barat
ketentuan,tentu
Pasal,Pasal
11,11
ayat,ayat
1,1
Perjanjian,Perjanj
Bulan,Bul
dipandang,pandang
jalan,jalan
sosialisasi,sosialisasi
Timothy,Timothy
Nelson,Nelson
2011,2011
Sebuah,Sebuah
ironi,ironi
melekatkan,lekat
konotasi,konotasi
sosialis,sosialis
Karena,Karena
dugaan,duga
rumusan,rumus
diciptakan,cipta
Blok,Blok
Soviet,Soviet
sejatinya,sejati
rumusan,rumus
pasal,pasal
mencerminkan,cermin
konsep,konsep
wilayah,wilayah
menguntungkan,untung
mencakup,cakup
enjoyment,enjoyment
keuntungan,untung
penerimaan,penerima
hasil,hasil
Sebuah,Sebuah
paradoks,paradoks
pengaturan,atur
ruang,ruang
angkasa,angkasa
Prinsip,Prinsip
first,first
come,come
first,first
served,served
melingkupi,lingkup
kebiasaan,biasa
internasional,internasional
bidang,bidang
keantariksaan,antariksa
Prinsip,Prinsip
berkembang,kembang
konsep,konsep
res,res
nullius,nullius
mengakui,aku
okupasi,okupasi
metode,metode
orisinal,orisinal
memperoleh,memperoleh
kepemilikan,kepemil
properti,properti
pemilik,milik
Sementara,Sementara
OST,OST
1967,1967
hakikatnya,hakikat
menetapkan,menetap
ruang,ruang
angkasa,angkasa
wilayah,wilayah
ekstra,ekstra
yurisdiksi,yurisdiksi
Tidak,Tidak
negara,negara
melaksanakan,laksana
hak,hak
kedaulatan,daulat
wilayah,wilayah
Hukum,Hukum
antariksa,antariksa
mengakui,aku
ruang,ruang
angkasa,angkasa
res,res
communis,communis
omnium,omnium
dimiliki,milik
masyarakat,masyarakat
Konsep,Konsep
konservatif,konservatif
mendahului,dahulu
konsep,konsep
konsep,konsep
terkini,terkin
milik,milik
prinsip,prinsip
common,common
heritage,heritage
of,of
mankind,mankind
muncul,muncul
Perjanjian,Perjanj
Bulan,Bul
Secara,Secara
khusus,khusus
negara,negara
negara,negara
berkembang,kembang
menafsirkan,menafsir
konsep,konsep
mewujudkan,wujud
prinsip,prinsip
sumber,sumber
daya,daya
antariksa,antariksa
milik,milik
negara,negara
Untuk,Untuk
dibutuhkan,butuh
kendali,kendali
internasional,internasional
sumber,sumber
daya,daya
antariksa,antariksa
tujuan,tuju
mendistribusikan,mendistribus
kekayaan,kaya
teknologi,teknologi
negara,negara
negara,negara
Rezim,Rezim
internasional,internasional
lambat,lambat
beradaptasi,beradaptas
Oleh,Oleh
negara,negara
swasta,swasta
komersialisasi,komersialisasi
ruang,ruang
angkasa,angkasa
menciptakan,cipta
peluang,peluang
Namun,Namun
sisi,sisi
mengatalisasi,mengatalisas
organisasi,organisasi
multilateral,multilateral
memecah,memecah
dunia,dunia
rezim,rezim
regulasi,regulasi
terpisah,pisah
terkoordinasi,terkoordinas
sempurna,sempurna
Misalnya,Misal
pembentukan,pembentu
Artemis,Artemis
Accords,Accords
2020,2020
digagas,gagas
dipimpin,pimpin
AS,AS
Program,Program
kemitraan,mitra
berisi,beris
serangkaian,rangka
norma,norma
upaya,upaya
AS,AS
membangun,bangun
sekutu,sekutu
dominasi,dominasi
aktivitas,aktivitas
antariksa,antariksa
Program,Program
Artemis,Artemis
dipandang,pandang
berpusat,pusat
AS,AS
kepentingan,penting
komersial,komersial
negara,negara
bergabung,gabung
Mereka,Mereka
memilih,memilih
mematuhi,mematuh
Perjanjian,Perjanj
Bulan,Bul
1979,1979
perjanjian,perjanj
komprehensif,komprehensif
Kesepakatan,Kesepakat
disusun,susun
perjanjian,perjanj
bilateral,bilateral
menarik,arik
negara,negara
dibandingkan,banding
perjanjian,perjanj
multilateral,multilateral
melibatkan,libat
konsensus,konsensus
kerja,kerja
internasional,internasional
luas,luas
Sayangnya,Sayang
kerangka,kerangka
regulasi,regulasi
internasional,internasional
cepat,cepat
beradaptasi,beradaptas
perkembangan,perkembang
aktivitas,aktivitas
antariksa,antariksa
melaju,laju
cepat,cepat
Sementara,Sementara
proliferasi,proliferasi
aktivitas,aktivitas
antariksa,antariksa
komersial,komersial
menuntut,untut
koordinasi,koordinasi
pengawasan,awas
kuat,kuat
meminimalkan,minimal
kecelakaan,celaka
teknis,teknis
dampak,dampak
negatif,negatif
lingkungan,lingkung
ketegangan,tegang
politik,politik
Hukum,Hukum
internasional,internasional
menjaga,jaga
akuntabilitas,akuntabilitas
mengatur,atur
aktivitas,aktivitas
komersial,komersial
pemanfaatan,manfaat
ruang,ruang
angkasa,angkasa
adil,adil
berkesinambungan,berkesinambung
Komunitas,Komunitas
internasional,internasional
bergantung,gantung
perjanjian,perjanj
