kata_awal,kata_stemming
kenikmatannya,nikmat
makan,makan
junk,junk
food,food
meningkatkan,meningkat
risiko,risiko
kesehatan,sehat
obesitas,obesitas
depresi,depresi
pencernaan,pencerna
penyakit,penyakit
jantung,jantung
stroke,stroke
kanker,kanker
diabetes,diabetes
tipe,tipe
2,2
efek,efek
makan,makan
junk,junk
food,food
halodoc,halodoc
jakarta,jakarta
junk,junk
food,food
alias,alias
makanan,makan
cepat,cepat
saji,saji
digemari,gemar
masyarakat,masyarakat
gurih,gurih
penyajiannya,penyaji
cepat,cepat
junk,junk
food,food
kerap,kerap
tampilan,tampil
menarik,menarik
cocok,cocok
dipublikasikan,publikasi
media,media
sosial,sosial
plus,plus
junk,junk
food,food
bahaya,bahaya
diwaspadai,waspada
makan,makan
junk,junk
food,food
meningkatkan,meningkat
risiko,risiko
obesitas,obesitas
depresi,depresi
pencernaan,pencerna
penyakit,penyakit
jantung,jantung
stroke,stroke
kanker,kanker
diabetes,diabetes
tipe,tipe
2,2
memperpendek,memperpendek
ingatan,ingat
mood,mood
swing,swing
junk,junk
food,food
makanan,makan
minuman,minum
nilai,nilai
gizi,gizi
rendah,rendah
lemak,lemak
gula,gula
garam,garam
makanan,makan
cepat,cepat
saji,saji
menyehatkan,menyehat
salad,salad
sushi,sush
sandwich,sandwich
jenis,jenis
junk,junk
food,food
berbahaya,berbahaya
kesehatan,sehat
simak,simak
bahayanya,bahaya
1,1
memperpendek,memperpendek
daya,daya
mengonsumsi,mengonsums
junk,junk
food,food
menurunkan,menurun
kemampuan,mampu
otak,otak
berpikir,berpikir
gula,gula
lemak,lemak
dikaitkan,kait
gangguan,ganggu
memori,memori
mengonsumsi,mengonsums
makanan,makan
gula,gula
lemak,lemak
diduga,duga
merusak,rusak
memori,memori
hippocampal,hippocampal
2,2
cepat,cepat
tua,tua
kandungan,kandung
junk,junk
food,food
memicu,memicu
inflamasi,inflamasi
peradangan,radang
mempercepat,mempercepat
proses,proses
penuaan,penua
kulit,kulit
mudah,mudah
berkeriput,berkeriput
mengalami,mengalam
penuaan,penua
konsumsi,konsumsi
junk,junk
food,food
memperpendek,memperpendek
telomer,telomer
struktur,struktur
kromosom,kromosom
penanda,penanda
usia,usia
biologis,biologis
manusia,manusia
3,3
kecanduan,candu
junk,junk
food,food
kecanduan,candu
kecanduan,candu
sulit,sulit
mengontrol,mengontrol
nafsu,nafsu
makan,makan
junk,junk
food,food
merangsang,rangsang
sistem,sistem
penghargaan,pengharga
otak,otak
obat,obat
obatan,obat
adiktif,adiktif
kokain,kokain
4,4
depresi,depresi
kecanduan,candu
junk,junk
food,food
level,level
depresi,depresi
sulit,sulit
mengendalikan,mengendali
stres,stres
tekanan,kanan
mengonsumsi,mengonsums
junk,junk
food,food
data,data
kesehatan,sehat
national,national
library,library
of,of
medicine,medicine
konsumsi,konsumsi
junk,junk
food,food
meningkatkan,meningkat
risiko,risiko
gangguan,ganggu
kejiwaan,jiwa
perilaku,perilaku
kekerasan,keras
anak,anak
remaja,remaja
membiasakan,membiasa
mengonsumsi,mengonsums
makanan,makan
sehat,sehat
pendekatan,pendekat
efektif,efektif
meningkatkan,meningkat
kesehatan,sehat
mental,mental
sedari,dar
5,5
mood,mood
swing,swing
mood,mood
swing,swing
alias,alias
perubahan,rubah
mood,mood
mengonsumsi,mengonsums
cupcake,cupcake
kadar,kadar
gula,gula
tubuh,tubuh
meningkat,meningkat
menimbulkan,menimbul
perasaan,rasa
bahagia,bahagia
efeknya,efek
hilang,hilang
kesenangan,senang
hilang,hilang
berganti,bergant
hampa,hampa
menghindari,menghindar
bahaya,bahaya
junk,junk
food,food
mengatur,mengatur
diet,diet
sehat,sehat
makanan,makan
cepat,cepat
saji,saji
keripik,keripik
kue,kue
biskuit,biskuit
cokelat,cokelat
permen,permen
minuman,minum
manis,manis
makanan,makan
diproses,proses
rendah,rendah
nutrisi,nutrisi
sayangnya,sayang
makanan,makan
minuman,minum
menambah,menambah
nilai,nilai
apapun,apa
gula,gula
lemak,lemak
jenuh,jenuh
garam,garam
menyenangkan,menyenang
dimakan,dima
konsumsi,konsumsi
junk,junk
food,food
berbahaya,berbahaya
kesehatan,sehat
diet,diet
sehat,sehat
terbiasa,terbiasa
mengonsumsi,mengonsums
junk,junk
food,food
1,1
konsumsi,konsumsi
makanan,makan
berbasis,berbasis
protein,protein
kacang,kacang
kacangan,kacang
buncis,buncis
kacang,kacang
merah,merah
kacang,kacang
panggang,panggang
lentil,lentil
daging,daging
lemak,lemak
ayam,ayam
telur,telur
ikan,ikan
keju,keju
yoghurt,yoghurt
susu,susu
membantu,membantu
kenyang,kenyang
kelompok,kelompok
makanan,makan
mengurangi,mengurang
ngemil,ngemil
junk,junk
food,food
makan,makan
2,2
makan,makan
kesadaran,sadar
hindari,hindar
mengemil,ngemil
junk,junk
food,food
tv,tv
mengemudi,mengemud
memegang,memegang
gadget,gadget
menghindari,menghindar
konsumsi,konsumsi
makanan,makan
sehat,sehat
cobalah,coba
makan,makan
meja,meja
matikan,mati
gadget,gadget
membantu,membantu
makan,makan
kesadaran,sadar
memperhatikan,memperhati
makanan,makan
makan,makan
fokuslah,fokus
tekstur,tekstur
sensasi,sensasi
makanan,makan
masuk,masuk
mulut,mulut
3,3
pilihan,pilih
sehat,sehat
makanan,makan
makanan,makan
melewati,lewat
proses,proses
pengolahan,pengolah
pilihan,pilih
makanan,makan
sehat,sehat
lapar,lapar
butuh,butuh
kudapan,kudap
makanlah,makan
segenggam,genggam
kacang,kacang
biskuit,biskuit
gandum,gandum
keju,keju
hummus,hummus
potongan,potong
buah,buah
terlanjur,terlanjur
doyan,doyan
junk,junk
food,food
panik,panik
batasi,batas
konsumsi,konsumsi
makanan,makan
cepat,cepat
saji,saji
diskusikan,diskusi
dokter,dokter
aplikasi,aplikasi
halodoc,halodoc
janji,janji
pemeriksaan,pemeriksa
kondisi,kondisi
kesehatanmu,sehat
yuk,yuk
download,download
halodoc,halodoc
referensi,referensi
insider,insider
com,com
diakses,akses
2022,2022
eating,eating
a,a
lot,lot
of,of
processed,processed
foods,foods
could,could
cause,cause
your,your
body,body
to,to
age,age
more,more
quickly,quickly
a,a
new,new
study,study
suggests,suggests
healthline,healthline
diakses,akses
2022,2022
one,one
week,week
of,of
junk,junk
food,food
may,may
be,be
enough,enough
to,to
damage,damage
your,your
memory,memory
healthline,healthline
diakses,akses
2022,2022
how,how
food,food
addiction,addiction
works,works
and,and
what,what
to,to
do,do
about,about
it,it
national,national
library,library
of,of
medicine,medicine
diakses,akses
2022,2022
association,association
between,between
junk,junk
food,food
consumption,consumption
and,and
mental,mental
health,health
in,in
a,a
national,national
sample,sample
of,of
iranian,irani
children,children
and,and
adolescents,adolescents
the,the
caspian,caspi
iv,iv
study,study
publik,publik
dikejutkan,kejut
pemberitaan,pemberita
dugaan,duga
kekerasan,keras
seksual,seksual
melibatkan,libat
peserta,serta
program,program
pendidikan,pendidi
dokter,dokter
spesialis,spesialis
ppds,ppds
salah,salah
rumah,rumah
sakit,sakit
pendidikan,pendidi
ternama,ternama
indonesia,indonesia
terlepas,terlepas
proses,proses
hukum,hukum
berjalan,berjal
asas,asas
praduga,praduga
bersalah,bersa
dijunjung,junjung
menyentuh,menyentuh
titik,titik
hubungan,hubung
pelaku,pela
korban,korban
menyibak,menyibak
lapisan,lapis
lapisan,lapis
gelap,gelap
sistem,sistem
pendidikan,pendidi
kedokteran,dokter
spesialis,spesialis
dibiarkan,biar
berjalan,berjal
hierarki,hierarki
kaku,kaku
minim,minim
pengawasan,pengawas
rapuh,rapuh
perlindungan,perlindung
hukum,hukum
masyarakat,masyarakat
mendambakan,mendamba
dokter,dokter
spesialis,spesialis
unggul,unggul
cerdas,cerdas
sigap,sigap
penuh,penuh
empati,empati
proses,proses
mencetak,mencetak
dokter,dokter
diliputi,liput
krisis,krisis
mengkhawatirkan,mengkhawatir
survei,survei
kementerian,menteri
kesehatan,sehat
maret,maret
2024,2024
22,22
4,4
peserta,serta
ppds,ppds
mengalami,mengalam
gejala,gejala
depresi,depresi
3,3
3,3
mengaku,menga
memiliki,milik
pikiran,pikir
hidup,hidup
angka,angka
sinyal,sinyal
bahaya,bahaya
serius,serius
layanan,layan
kesehatan,sehat
negeri,negeri
mahasiswa,mahasiswa
pekerja,kerja
ppds,ppds
residen,residen
praktiknya,praktik
status,status
hukum,hukum
belajar,belajar
mahasiswa,mahasiswa
pengertian,pengerti
konvensional,konvensional
duduk,duduk
ruang,ruang
kuliah,kuliah
laboratorium,laboratorium
tenaga,tenaga
medis,medis
diakui,aku
struktural,struktural
sistem,sistem
kepegawaian,pegawai
rumah,rumah
sakit,sakit
undang,undang
undang,undang
nomor,nomor
20,20
2013,2013
pendidikan,pendidi
kedokteran,dokter
pendidikan,pendidi
profesi,profesi
spesialis,spesialis
pendidikan,pendidi
akademik,akademik
bertujuan,bertuju
membentuk,membentuk
kompetensi,kompetensi
dokter,dokter
celah,celah
muncul,muncul
pendidikan,pendidi
praktik,praktik
lapangan,lapang
residen,residen
menjalani,menjalan
tugas,tugas
tugas,tugas
klinis,klinis
kali,kali
berat,berat
esensial,esensial
operasionalisasi,operasionalisasi
rumah,rumah
sakit,sakit
perlindungan,perlindung
hukum,hukum
selayaknya,layak
tenaga,tenaga
kerja,kerja
jaminan,jamin
sosial,sosial
etika,etika
kedokteran,dokter
buku,buku
praktik,praktik
bangku,bangku
kuliah,kuliah
mahasiswa,mahasiswa
kedokteran,dokter
diajarkan,ajar
kode,kode
etik,etik
profesi,profesi
kode,kode
etik,etik
kedokteran,dokter
indonesia,indonesia
kodeki,kodek
tertulis,tertulis
dokter,dokter
wajib,wajib
menjunjung,menjunjung
martabat,martabat
kemanusiaan,manusia
menghormati,menghormat
hak,hak
pasien,pasien
sejawat,jawat
bertindak,bertindak
berdasarkan,berdasar
integritas,integritas
moral,moral
realitas,realitas
sistem,sistem
ppds,ppds
prinsip,prinsip
prinsip,prinsip
kerap,kerap
dibenturkan,bentur
kultur,kultur
mengakar,mengakar
seniorisme,seniorisme
tekanan,kanan
akademik,akademik
pembiaran,pembiar
kekerasan,keras
simbolik,simbolik
fisik,fisik
nama,nama
pendidikan,pendidi
etika,etika
profesi,profesi
berhenti,berhent
teks,teks
praktik,praktik
dijalani,jalan
uu,uu
nomor,nomor
29,29
2004,2004
praktik,praktik
kedokteran,dokter
tenaga,tenaga
medis,medis
dokter,dokter
menempuh,menempuh
pendidikan,pendidi
tunduk,tunduk
prinsip,prinsip
etik,etik
bertanggung,bertanggung
tindakannya,tinda
kekerasan,keras
kekerasan,keras
seksual,seksual
ditoleransi,ditolerans
bentuk,bentuk
alasan,alas
institusi,institusi
pendidikan,pendidi
kedokteran,dokter
relasi,relasi
kuasa,kuasa
kesehatan,sehat
mental,mental
pengawasan,pengawas
mengkhawatirkan,mengkhawatir
sistem,sistem
relasi,relasi
kuasa,kuasa
timpang,timpang
residen,residen
pembimbing,pembimbing
residen,residen
senior,senior
yunior,yunior
kondisi,kondisi
pengawasan,pengawas
lemah,lemah
institusi,institusi
kedokteran,dokter
memiliki,milik
mekanisme,mekanisme
pelaporan,lapor
kekerasan,keras
pelecehan,leceh
aman,aman
berpihak,berpihak
korban,korban
kalah,kalah
kesehatan,sehat
mental,mental
tekanan,kanan
akademik,akademik
beban,beban
kerja,kerja
klinis,klinis
isolasi,isolasi
sosial,sosial
dialami,alam
peserta,serta
ppds,ppds
pemicu,pemicu
stres,stres
kronis,kronis
kecemasan,cemas
gangguan,ganggu
perilaku,perilaku
sayangnya,sayang
sistem,sistem
menjadikan,menjadi
asesmen,asesmen
kesehatan,sehat
mental,mental
standar,standar
wajib,wajib
seleksi,seleksi
evaluasi,evaluasi
berkala,berkala
residen,residen
alat,alat
minnesota,minnesota
multiphasic,multiphasic
personality,personality
inventory,inventory
mmpi,mmp
luas,luas
dunia,dunia
psikologi,psikologi
klinis,klinis
seleksi,seleksi
pekerjaan,kerja
berisiko,risiko
membantu,membantu
mengidentifikasi,mengidentifikas
potensi,potensi
psikologis,psikologis
gangguan,ganggu
kepribadian,pribadi
kecenderungan,cenderung
agresif,agresif
tersembunyi,tersembuny
diterapkan,terap
bijak,bijak
tes,tes
pagar,pagar
mencegah,mencegah
orang,orang
orang,orang
risiko,risiko
masuk,masuk
sistem,sistem
pendidikan,pendidi
menuntut,menuntut
stabilitas,stabilitas
emosi,emosi
kemampuan,mampu
relasi,relasi
interpersonal,interpersonal
solusi,solusi
saran,saran
reformasi,reformasi
sistem,sistem
ppds,ppds
keharusan,harus
opsi,opsi
pemerintah,pemerin
kementerian,menteri
kesehatan,sehat
kementerian,menteri
pendidikan,pendidi
sains,sains
teknologi,teknologi
langkah,langkah
konkret,konkret
berulang,berulang
sistem,sistem
berpihak,berpihak
keselamatan,selamat
pertumbuhan,pertumbuh
peserta,serta
didik,didik
langkah,langkah
konkret,konkret
diterapkan,terap
1,1
penegasan,penegas
status,status
hukum,hukum
ppds,ppds
pemerintah,pemerin
menetapkan,menetap
status,status
hukum,hukum
ppds,ppds
dibiarkan,biar
mengambang,mengambang
mahasiswa,mahasiswa
tenaga,tenaga
kerja,kerja
status,status
hak,hak
perlindungan,perlindung
batasan,batas
kewajiban,wajib
adil,adil
hukum,hukum
2,2
mekanisme,mekanisme
pelaporan,lapor
aman,aman
independent,independent
rumah,rumah
sakit,sakit
pendidikan,pendidi
institusi,institusi
kedokteran,dokter
wajib,wajib
memiliki,milik
unit,unit
pengaduan,pengadu
independen,independen
berpihak,berpihak
korban,korban
memiliki,milik
kekuatan,kuat
mengintervensi,mengintervens
anonimitas,anonimitas
keamanan,aman
pelapor,lapor
tindakan,tinda
responsif,responsif
standar,standar
3,3
tes,tes
kejiwaan,jiwa
konseling,konseling
psikologis,psikologis
berkala,berkala
asesmen,asesmen
psikologis,psikologis
mmpi,mmp
syarat,syarat
wajib,wajib
proses,proses
seleksi,seleksi
calon,calon
residen,residen
situ,situ
pendampingan,pendamping
psikologis,psikologis
berkala,berkala
pendidikan,pendidi
diinstitusikan,institusi
dianggap,anggap
beban,beban
tujuannya,tuju
mencari,mencar
cari,cari
kelemahan,lemah
mental,mental
membantu,membantu
peserta,serta
didik,didik
memahami,memaham
batas,batas
stresnya,stres
mengenali,mengenal
emosi,emosi
memproses,memproses
tekanan,kanan
sehat,sehat
konseling,konseling
tanda,tanda
lemah,lemah
pelatihan,latih
dokter,dokter
utuh,utuh
disebabkan,sebab
merawat,rawat
orang,orang
dirawat,rawat
menanamkan,menanam
etika,etika
hierarki,hierarki
toksik,toksik
salah,salah
akar,akar
terbesar,terbesar
sistem,sistem
pendidikan,pendidi
dokter,dokter
spesialis,spesialis
indonesia,indonesia
budaya,budaya
senioritas,senioritas
jarang,jarang
berubah,rubah
kekuasaan,kuasa
etika,etika
tumbuh,tumbuh
takut,takut
peneladanan,peneladan
dialog,dialog
sehat,sehat
membangun,membangun
model,model
relasi,relasi
berdasarkan,berdasar
hierarki,hierarki
prinsip,prinsip
dasar,dasar
1,1
respect,respect
takut,takut
muda,muda
menghormati,menghormat
tua,tua
takut,takut
dibentak,bentak
diintimidasi,diintimidas
menghargai,mengharga
ilmu,ilmu
pengalaman,pengalam
dedikasi,dedikasi
tua,tua
pembimbing,pembimbing
kaka,kaka
kelas,kelas
sadar,sadar
hormat,hormat
dipaksa,paksa
ditumbuhkan,tumbuh
keteladanan,teladan
kebaikan,kebai
keadilan,adil
2,2
sistem,sistem
mentoring,mentoring
formal,formal
senioritas,senioritas
digantikan,ganti
mentoring,mentoring
peserta,serta
didik,didik
menjalani,menjalan
pendidikan,pendidi
diarahkan,arah
mentor,mentor
penguasa,penguasa
informal,informal
dibekali,bekal
pelatihan,latih
komunikasi,komunikasi
etika,etika
tanggung,tanggung
pembina,pembina
karakter,karakter
penjaga,penjaga
tradisi,tradisi
keras,keras
3,3
evaluasi,evaluasi
etika,etika
budaya,budaya
semester,semester
ujian,uji
akademik,akademik
evaluasi,evaluasi
iklim,iklim
etik,etik
psikososial,psikososial
lingkungan,lingkung
pendidikan,pendidi
spesialis,spesialis
berkala,berkala
peserta,serta
aman,aman
nilai,nilai
menghargai,mengharga
dijalankan,jalan
survei,survei
dijadikan,jadi
dasar,dasar
reformasi,reformasi
internal,internal
berkelanjutan,berkelanjut
mendidik,mendidik
nilai,nilai
ilmu,ilmu
pendidikan,pendidi
kedokteran,dokter
mencetak,mencetak
dokter,dokter
keterampilan,terampil
klinis,klinis
mumpuni,mumpuni
membentuk,membentuk
pribadi,pribadi
mendengar,mendengar
memahami,memaham
merawat,rawat
manusia,manusia
empati,empati
rumah,rumah
sakit,sakit
alat,alat
tercanggih,tercanggih
lulusan,lulus
nilai,nilai
akademik,akademik
terbaik,terbaik
sistemnya,sistem
membiarkan,membiar
kekerasan,keras
membungkam,membungkam
korban,korban
memproduksi,memproduks
dokter,dokter
dokter,dokter
dingin,dingin
moral,moral
gagal,gagal
bangsa,bangsa
mengganti,menggant
kultur,kultur
kekerasan,keras
kultur,kultur
kepedulian,peduli
diterapkan,terap
menghapus,menghapus
nilai,nilai
nilai,nilai
luhur,luhur
hormat,hormat
disiplin,disiplin
pengabdian,pengabdi
menata,menata
ulang,ulang
sistem,sistem
dokter,dokter
profesional,profesional
manusia,manusia
seutuhnya,utuh
sistem,sistem
kesehatan,sehat
indonesia,indonesia
kuat,kuat
investasinya,investasi
didik,didik
berhenti,berhent
menutup,menutup
mata,mata
jas,jas
putih,putih
jiwa,jiwa
diselamatkan,selamat
nilai,nilai
tukar,tukar
rupiah,rupiah
mengalami,mengalam
tekanan,kanan
berat,berat
mendekati,mendekat
rp,rp
17,17
000,000
dollar,dollar
as,as
level,level
krisis,krisis
moneter,moneter
1998,1998
fundamental,fundamental
ekonomi,ekonomi
indonesia,indonesia
pertumbuhan,pertumbuh
ekonomi,ekonomi
5,5
persen,persen
inflasi,inflasi
rendah,rendah
deflasi,deflasi
ditambah,tambah
neraca,neraca
perdagangan,perdagang
surplus,surplus
58,58
nilai,nilai
tukar,tukar
rupiah,rupiah
terkait,terkait
masuk,masuk
keluarnya,keluar
modal,modal
pasar,pasar
keuangan,uang
aliran,alir
modal,modal
pasar,pasar
modal,modal
obligasi,obligasi
menyebabkan,menyebab
indeks,indeks
harga,harga
saham,saham
gabungan,gabung
ihsg,ihsg
bursa,bursa
efek,efek
indonesia,indonesia
anjlok,anjlok
imbal,imbal
hasil,hasil
yield,yield
surat,surat
utang,utang
negara,negara
sun,sun
bertenor,bertenor
sepuluh,puluh
signifikan,signifikan
7,7
persen,persen
kebijakan,kebija
tarif,tarif
bea,bea
masuk,masuk
produk,produk
impor,impor
diterapkan,terap
presiden,presiden
as,as
donald,donald
trump,trump
menyebabkan,menyebab
pelarian,lari
modal,modal
negara,negara
berkembang,berkembang
indonesia,indonesia
internal,internal
realokasi,realokasi
anggaran,anggar
negara,negara
program,program
makan,makan
bergizi,bergiz
gratis,gratis
pemerintahan,pemerintah
prabowo,prabowo
memicu,memicu
kekhawatiran,khawatir
melemahkan,lemah
pertumbuhan,pertumbuh
ekonomi,ekonomi
indonesia,indonesia
pembentukan,pembentu
danantara,danantara
mengalihkan,mengalih
aset,aset
dividen,dividen
bumn,bumn
sovereign,sovereign
wealth,wealth
fund,fund
swf,swf
dikhawatirkan,khawatir
melemahkan,lemah
kinerja,kinerja
bumn,bumn
memunculkan,muncul
potensi,potensi
penyalahgunaan,penyalahguna
bumn,bumn
pemerintah,pemerin
kebijakan,kebija
program,program
ditambah,tambah
hilirisasi,hilirisas
menaikkan,naik
pertumbuhan,pertumbuh
ekonomi,ekonomi
indonesia,indonesia
8,8
persen,persen
meragukan,ragu
presiden,presiden
prabowo,prabowo
khawatir,khawatir
pelemahan,lemah
indeks,indeks
saham,saham
menyebabkan,menyebab
aliran,alir
modal,modal
memicu,memicu
pelemahan,lemah
nilai,nilai
tukar,tukar
rupiah,rupiah
signifikan,signifikan
presiden,presiden
ekonomi,ekonomi
masyarakat,masyarakat
kebanyakan,kebanya
berjalan,berjal
menteri,menteri
ekonomi,ekonomi
mengkhawatirkan,mengkhawatir
fundamental,fundamental
ekonomi,ekonomi
diandalkan,andal
pelemahan,lemah
rupiah,rupiah
berkelanjutan,berkelanjut
ketidakpastian,ketidakpasti
mengganggu,mengganggu
kegiatan,giat
perekonomian,perekonomi
nilai,nilai
mata,mata
uang,uang
harga,harga
relatif,relatif
mata,mata
uang,uang
dollar,dollar
as,as
melemah,lemah
tajam,tajam
stabil,stabil
memengaruhi,memengaruh
fundamental,fundamental
perekonomian,perekonomi
ditambah,tambah
tekanan,kanan
tarif,tarif
as,as
memberatkan,memberat
mengancam,mengancam
neraca,neraca
perdagangan,perdagang
kewibawaan,wibawa
kebijakan,kebija
nilai,nilai
rupiah,rupiah
ditentukan,tentu
penawaran,penawar
permintaan,perminta
persepsi,persepsi
ekspektasi,ekspektas
pelaku,pela
ekonomi,ekonomi
investor,investor
sektor,sektor
keuangan,uang
menentukan,menentu
dominan,dominan
sayangnya,sayang
persepsi,persepsi
rupiah,rupiah
cenderung,cenderung
menganggap,menganggap
rupiah,rupiah
mata,mata
uang,uang
lemah,lemah
diandalkan,andal
ekspektasi,ekspektas
rupiah,rupiah
cenderung,cenderung
mengalami,mengalam
pelemahan,lemah
anggaran,anggar
pemerintah,pemerin
rencana,rencana
bisnis,bisnis
perusahaan,perusaha
nilai,nilai
tukar,tukar
rupiah,rupiah
diproyeksikan,proyeksi
mengalami,mengalam
pelemahan,lemah
bank,bank
indonesia,indonesia
bi,b
meredam,redam
volatilitas,volatilitas
nilai,nilai
rupiah,rupiah
menjaga,menjaga
depresiasi,depresiasi
melebihi,lebih
persentase,persentase
persepsi,persepsi
ekspektasi,ekspektas
negatif,negatif
nilai,nilai
tukar,tukar
melemah,lemah
pelemahan,lemah
fundamental,fundamental
ekonomi,ekonomi
taruhan,taruh
nilai,nilai
tukar,tukar
rupiah,rupiah
dipengaruhi,pengaruh
kewibawaan,wibawa
bi,b
otoritas,otoritas
bertanggung,bertanggung
stabilitas,stabilitas
rupiah,rupiah
bi,b
dinilai,nila
independen,independen
membiayai,membiaya
defisit,defisit
anggaran,anggar
bersifat,bersifat
pandemi,pandemi
berkelanjutan,berkelanjut
era,era
pemerintahan,pemerintah
prabowo,prabowo
26,26
persen,persen
sun,sun
dipegang,pegang
bi,b
24,24
persen,persen
dipegang,pegang
perbankan,perban
kondisi,kondisi
berbeda,berbeda
indonesia,indonesia
berupaya,berupaya
mengatasi,mengatas
krisis,krisis
1998,1998
bi,b
independen,independen
langkah,langkah
rekapitalisasi,rekapitalisasi
perbankan,perban
stabilisasi,stabilisasi
inflasi,inflasi
kredibilitas,kredibilitas
bi,b
bangkit,bangkit
berperan,berper
rupiah,rupiah
menguat,menguat
signifikan,signifikan
presiden,presiden
bj,bj
habibie,habibie
ekonomi,ekonomi
rupiahnya,rupiah
pesawat,pesawat
terbang,terbang
jatuh,jatuh
bebas,bebas
stahl,stahl
distabilkan,stabil
terbang,terbang
menanjak,menanjak
ascend,ascend
menjelajah,menjelajah
cruising,cruising
tujuan,tuju
kredibilitas,kredibilitas
kebijakan,kebija
independensi,independens
bank,bank
sentral,sentral
menentukan,menentu
program,program
stabilisasi,stabilisasi
dana,dana
moneter,moneter
internasional,internasional
imf,imf
berat,berat
konsisten,konsisten
dijalankan,jalan
kredibilitas,kredibilitas
kebijakan,kebija
ekonomi,ekonomi
terpuruk,terpuruk
dibangkitkan,bangkit
rupiah,rupiah
menguat,menguat
rp,rp
16,16
700,700
an,an
rp,rp
6,6
700,700
an,an
dollar,dollar
as,as
tekanan,kanan
politik,politik
pemerintah,pemerin
mendukung,mendukung
kebijakan,kebija
programnya,program
sejalan,sejal
prinsip,prinsip
ekonomi,ekonomi
upaya,upaya
menjaga,menjaga
independensi,independens
bi,b
mengalami,mengalam
kesulitan,sulit
ekonomi,ekonomi
cadangan,cadang
devisa,devisa
meningkat,meningkat
melemah,lemah
kewibawaan,wibawa
efektivitas,efektivitas
kebijakan,kebija
pengenaan,pengena
tarif,tarif
impor,impor
as,as
menambah,menambah
tekanan,kanan
nilai,nilai
tukar,tukar
rupiah,rupiah
perekonomian,perekonomi
menyelaraskan,menyelaras
kebijakan,kebija
bi,b
intervensi,intervensi
pasar,pasar
keuangan,uang
menstabilkan,menstabil
nilai,nilai
tukar,tukar
mata,mata
uang,uang
langkah,langkah
membutuhkan,membutuh
biaya,biaya
menambah,menambah
beban,beban
volume,volume
cadangan,cadang
devisa,devisa
kebijakan,kebija
mewajibkan,wajib
eksportir,eksportir
sumber,sumber
daya,daya
alam,alam
menyimpan,menyimp
devisa,devisa
ekspornya,ekspor
negeri,negeri
mengalami,mengalam
peningkatan,peningkat
kewibawaan,wibawa
otoritas,otoritas
moneter,moneter
menentukan,menentu
stabilitas,stabilitas
rupiah,rupiah
keuangan,uang
kewibawaan,wibawa
ditegakkan,tegak
cadangan,cadang
devisa,devisa
ditingkatkan,tingkat
intervensi,intervensi
pasar,pasar
terukur,terukur
koordinasi,koordinasi
kebijakan,kebija
ekonomi,ekonomi
konstruktif,konstruktif
upaya,upaya
mendorong,mendorong
aliran,alir
modal,modal
negeri,negeri
menghadapi,menghadap
pengenaan,pengena
tarif,tarif
resiprokal,resiprokal
32,32
persen,persen
trump,trump
penerapannya,penerap
ditangguhkan,tangguh
90,90
kemampuan,mampu
diplomasi,diplomasi
indonesia,indonesia
bernegosiasi,bernegosias
krusial,krusial
indonesia,indonesia
posisi,posisi
retaliasi,retalias
tarif,tarif
resiprokal,resiprokal
as,as
balasan,balas
bea,bea
masuk,masuk
persyaratan,persyarat
tingkat,tingkat
komponen,komponen
negeri,negeri
tkdn,tkdn
keharusan,harus
menyimpan,menyimp
penerimaan,penerima
ekspor,ekspor
negeri,negeri
hambatan,hambat
perdagangan,perdagang
diterapkan,terap
indonesia,indonesia
rezim,rezim
internasional,internasional
kuat,kuat
ditegakkan,tegak
negara,negara
negara,negara
bergerak,bergerak
bidang,bidang
antariksa,antariksa
mengulangi,mengulang
kesalahan,salah
era,era
eksplorasi,eksplorasi
imperialisme,imperialisme
okupasi,okupasi
berubah,rubah
era,era
penjelajahan,penjelajah
antariksa,antariksa
supremasisme,supremasisme
mendominasi,mendominas
menguasai,menguasa
mengontrol,mengontrol
entitas,entitas
kelompoknya,kelompok
didukung,dukung
kekuatan,kuat
modal,modal
teknologi,teknologi
mutakhir,mutakhir
hasrat,hasrat
superior,superior
menemukan,menemu
jalan,jalan
eksploitasi,eksploitasi
orbit,orbit
bumi,bumi
tonggak,tonggak
tata,tata
kelola,kelola
antariksa,antariksa
outer,outer
space,space
treaty,treaty
ost,ost
1967,1967
komprehensif,komprehensif
membahas,membahas
okupasi,okupasi
orbit,orbit
perjanjian,perjanji
internasional,internasional
meramalkan,ramal
melarang,larang
penyebaran,penyebar
satelit,satelit
kendali,kendali
mengakibatkan,mengakibat
pendudukan,pendudu
ruang,ruang
orbit,orbit
bumi,bumi
de,de
facto,facto
katalog,katalog
orbit,orbit
satelit,satelit
bumi,bumi
badan,badan
penerbangan,penerbang
antariksa,antariksa
nasa,nasa
amerika,amerika
serikat,serikat
satelit,satelit
diluncurkan,luncur
orbit,orbit
bumi,bumi
rendah,rendah
kian,kian
bertambah,bertambah
satelit,satelit
diluncurkan,luncur
60,60
satelit,satelit
mencapai,mencapa
orbit,orbit
minggu,minggu
amerika,amerika
serikat,serikat
terdepan,terdep
starlink,starlink
dioperasikan,operasi
spacex,spacex
milik,milik
elon,elon
musk,musk
data,data
statistik,statistik
peluncuran,luncur
starlink,starlink
dirangkum,rangkum
februari,februari
2025,2025
7,7
086,086
satelit,satelit
orbit,orbit
42,42
000,000
satelit,satelit
rencana,rencana
