kata_awal,kata_stemming,kata_dasar_terdeteksi
2,2,2
makan,makan,akan
kesadaran,sadar,ada
hindari,hindar,dar
mengemil,ngemil,gemi
junk,junk,jun
food,food,food
tv,tv,tv
mengemudi,mengemud,mu
memegang,memegang,gang
gadget,gadget,gadget
menghindari,menghindar,dar
konsumsi,konsumsi,konsumsi
makanan,makan,akan
sehat,sehat,seh
cobalah,coba,coba
makan,makan,akan
meja,meja,eja
matikan,mati,ati
gadget,gadget,gadget
membantu,membantu,ban
makan,makan,akan
kesadaran,sadar,ada
memperhatikan,memperhati,ati
makanan,makan,akan
makan,makan,akan
fokuslah,fokus,fokus
tekstur,tekstur,eks
sensasi,sensasi,asi
makanan,makan,akan
masuk,masuk,asu
mulut,mulut,lut
3,3,3
pilihan,pilih,ili
sehat,sehat,seh
makanan,makan,akan
makanan,makan,akan
melewati,lewat,ewa
proses,proses,es
pengolahan,pengolah,gol
pilihan,pilih,ili
makanan,makan,akan
sehat,sehat,seh
lapar,lapar,apa
butuh,butuh,butuh
kudapan,kudap,dap
makanlah,makan,akan
segenggam,genggam,gam
kacang,kacang,acan
biskuit,biskuit,bis
gandum,gandum,dum
keju,keju,keju
hummus,hummus,mu
potongan,potong,ong
buah,buah,bua
terlanjur,terlanjur,anju
doyan,doyan,doyan
junk,junk,jun
food,food,food
panik,panik,ani
batasi,batas,atas
konsumsi,konsumsi,konsumsi
makanan,makan,akan
cepat,cepat,cepat
saji,saji,aji
diskusikan,diskusi,diskus
dokter,dokter,dok
aplikasi,aplikasi,aplikasi
halodoc,halodoc,hal
janji,janji,janji
pemeriksaan,pemeriksa,erik
kondisi,kondisi,isi
kesehatanmu,sehat,seh
yuk,yuk,yuk
download,download,download
halodoc,halodoc,hal
referensi,referensi,referen
insider,insider,ide
com,com,om
diakses,akses,akses
2022,2022,2022
eating,eating,ati
a,a,a
lot,lot,lot
of,of,of
processed,processed,es
foods,foods,foods
could,could,could
cause,cause,aus
your,your,your
body,body,body
to,to,to
age,age,age
more,more,more
quickly,quickly,quickly
a,a,a
new,new,new
study,study,study
suggests,suggests,es
healthline,healthline,lin
diakses,akses,akses
2022,2022,2022
one,one,one
week,week,week
of,of,of
junk,junk,jun
food,food,food
may,may,may
be,be,be
enough,enough,enough
to,to,to
damage,damage,ama
your,your,your
memory,memory,mem
healthline,healthline,lin
diakses,akses,akses
2022,2022,2022
how,how,how
food,food,food
addiction,addiction,ion
works,works,works
and,and,and
what,what,what
to,to,to
do,do,do
about,about,about
it,it,it
national,national,ati
library,library,ibra
of,of,of
medicine,medicine,medicine
diakses,akses,akses
2022,2022,2022
association,association,ati
between,between,bet
junk,junk,jun
food,food,food
consumption,consumption,ion
and,and,and
mental,mental,mental
health,health,health
in,in,in
a,a,a
national,national,ati
sample,sample,sample
of,of,of
iranian,irani,ani
children,children,children
and,and,and
adolescents,adolescents,dol
the,the,the
caspian,caspi,cas
iv,iv,iv
study,study,study
publik,publik,lik
dikejutkan,kejut,keju
pemberitaan,pemberita,beri
dugaan,duga,duga
kekerasan,keras,era
seksual,seksual,eks
melibatkan,libat,iba
peserta,serta,serta
program,program,gram
pendidikan,pendidi,pen
dokter,dokter,dok
spesialis,spesialis,ali
ppds,ppds,ppds
salah,salah,ala
rumah,rumah,mah
sakit,sakit,aki
pendidikan,pendidi,pen
ternama,ternama,ama
indonesia,indonesia,don
terlepas,terlepas,lepa
proses,proses,es
hukum,hukum,hukum
berjalan,berjal,berjal
asas,asas,asa
praduga,praduga,adu
bersalah,bersa,bersa
dijunjung,junjung,jun
menyentuh,menyentuh,yen
titik,titik,itik
hubungan,hubung,bun
pelaku,pela,ela
korban,korban,ban
menyibak,menyibak,bak
lapisan,lapis,api
lapisan,lapis,api
gelap,gelap,ela
sistem,sistem,sis
pendidikan,pendidi,pen
kedokteran,dokter,dok
spesialis,spesialis,ali
dibiarkan,biar,biar
berjalan,berjal,berjal
hierarki,hierarki,era
kaku,kaku,aku
minim,minim,ini
pengawasan,pengawas,awa
rapuh,rapuh,apu
perlindungan,perlindung,dung
hukum,hukum,hukum
masyarakat,masyarakat,ara
mendambakan,mendamba,dam
dokter,dokter,dok
spesialis,spesialis,ali
unggul,unggul,gul
cerdas,cerdas,cerdas
sigap,sigap,gap
penuh,penuh,pen
empati,empati,ati
proses,proses,es
mencetak,mencetak,cetak
dokter,dokter,dok
diliputi,liput,lipu
krisis,krisis,isi
mengkhawatirkan,mengkhawatir,ati
survei,survei,survei
kementerian,menteri,ente
kesehatan,sehat,seh
maret,maret,are
2024,2024,2024
22,22,22
4,4,4
peserta,serta,serta
ppds,ppds,ppds
mengalami,mengalam,ala
gejala,gejala,ala
depresi,depresi,depresi
3,3,3
3,3,3
mengaku,menga,menga
memiliki,milik,ili
pikiran,pikir,kir
hidup,hidup,dup
angka,angka,angka
sinyal,sinyal,sin
bahaya,bahaya,bah
serius,serius,seri
layanan,layan,ayan
kesehatan,sehat,seh
negeri,negeri,neger
mahasiswa,mahasiswa,asi
pekerja,kerja,kerja
ppds,ppds,ppds
residen,residen,den
praktiknya,praktik,praktik
status,status,atus
hukum,hukum,hukum
belajar,belajar,aja
mahasiswa,mahasiswa,asi
pengertian,pengerti,erti
konvensional,konvensional,ion
duduk,duduk,duduk
ruang,ruang,rua
kuliah,kuliah,kuli
laboratorium,laboratorium,ato
tenaga,tenaga,aga
medis,medis,medis
diakui,aku,aku
struktural,struktural,struktur
sistem,sistem,sis
kepegawaian,pegawai,awa
rumah,rumah,mah
sakit,sakit,aki
undang,undang,dan
undang,undang,dan
nomor,nomor,nomor
20,20,20
2013,2013,2013
pendidikan,pendidi,pen
kedokteran,dokter,dok
pendidikan,pendidi,pen
profesi,profesi,es
spesialis,spesialis,ali
pendidikan,pendidi,pen
akademik,akademik,adem
bertujuan,bertuju,tuju
membentuk,membentuk,bentuk
kompetensi,kompetensi,kom
dokter,dokter,dok
celah,celah,cela
muncul,muncul,mu
pendidikan,pendidi,pen
praktik,praktik,praktik
lapangan,lapang,apa
residen,residen,den
menjalani,menjalan,ala
tugas,tugas,gas
tugas,tugas,gas
klinis,klinis,ini
kali,kali,ali
berat,berat,bera
esensial,esensial,es
operasionalisasi,operasionalisasi,ali
rumah,rumah,mah
sakit,sakit,aki
perlindungan,perlindung,dung
hukum,hukum,hukum
selayaknya,layak,ayak
tenaga,tenaga,aga
kerja,kerja,kerja
jaminan,jamin,ami
sosial,sosial,sia
etika,etika,etik
kedokteran,dokter,dok
buku,buku,buk
praktik,praktik,praktik
bangku,bangku,angku
kuliah,kuliah,kuli
mahasiswa,mahasiswa,asi
kedokteran,dokter,dok
diajarkan,ajar,aja
kode,kode,kode
etik,etik,etik
profesi,profesi,es
kode,kode,kode
etik,etik,etik
kedokteran,dokter,dok
indonesia,indonesia,don
kodeki,kodek,dek
tertulis,tertulis,lis
dokter,dokter,dok
wajib,wajib,aji
menjunjung,menjunjung,jun
martabat,martabat,aba
kemanusiaan,manusia,anu
menghormati,menghormat,hormat
hak,hak,hak
pasien,pasien,asi
sejawat,jawat,awa
bertindak,bertindak,erti
berdasarkan,berdasar,asa
integritas,integritas,integritas
moral,moral,moral
realitas,realitas,ali
sistem,sistem,sis
ppds,ppds,ppds
prinsip,prinsip,prinsip
prinsip,prinsip,prinsip
kerap,kerap,era
dibenturkan,bentur,bentur
kultur,kultur,kult
mengakar,mengakar,akar
seniorisme,seniorisme,sen
tekanan,kanan,ana
akademik,akademik,adem
pembiaran,pembiar,biar
kekerasan,keras,era
simbolik,simbolik,bol
fisik,fisik,fisi
nama,nama,ama
pendidikan,pendidi,pen
etika,etika,etik
profesi,profesi,es
berhenti,berhent,berhent
teks,teks,eks
praktik,praktik,praktik
dijalani,jalan,ala
uu,uu,uu
nomor,nomor,nomor
29,29,29
2004,2004,2004
praktik,praktik,praktik
kedokteran,dokter,dok
tenaga,tenaga,aga
medis,medis,medis
dokter,dokter,dok
menempuh,menempuh,empu
pendidikan,pendidi,pen
tunduk,tunduk,duk
prinsip,prinsip,prinsip
etik,etik,etik
bertanggung,bertanggung,anggun
tindakannya,tinda,tin
kekerasan,keras,era
kekerasan,keras,era
seksual,seksual,eks
ditoleransi,ditolerans,dito
bentuk,bentuk,bentuk
alasan,alas,ala
institusi,institusi,institusi
pendidikan,pendidi,pen
kedokteran,dokter,dok
relasi,relasi,asi
kuasa,kuasa,asa
kesehatan,sehat,seh
mental,mental,mental
pengawasan,pengawas,awa
mengkhawatirkan,mengkhawatir,ati
sistem,sistem,sis
relasi,relasi,asi
kuasa,kuasa,asa
timpang,timpang,pan
residen,residen,den
pembimbing,pembimbing,bimbing
residen,residen,den
senior,senior,sen
yunior,yunior,uni
kondisi,kondisi,isi
pengawasan,pengawas,awa
lemah,lemah,lem
institusi,institusi,institusi
kedokteran,dokter,dok
memiliki,milik,ili
mekanisme,mekanisme,ani
pelaporan,lapor,apo
kekerasan,keras,era
pelecehan,leceh,leceh
aman,aman,ama
berpihak,berpihak,hak
korban,korban,ban
kalah,kalah,ala
kesehatan,sehat,seh
mental,mental,mental
tekanan,kanan,ana
akademik,akademik,adem
beban,beban,ban
kerja,kerja,kerja
klinis,klinis,ini
isolasi,isolasi,asi
sosial,sosial,sia
dialami,alam,ala
peserta,serta,serta
ppds,ppds,ppds
pemicu,pemicu,mi
stres,stres,es
kronis,kronis,kroni
kecemasan,cemas,cema
gangguan,ganggu,gang
perilaku,perilaku,aku
sayangnya,sayang,ayan
sistem,sistem,sis
menjadikan,menjadi,adi
asesmen,asesmen,es
kesehatan,sehat,seh
mental,mental,mental
standar,standar,anda
wajib,wajib,aji
seleksi,seleksi,eks
evaluasi,evaluasi,alu
berkala,berkala,ala
residen,residen,den
alat,alat,ala
minnesota,minnesota,es
multiphasic,multiphasic,asi
personality,personality,ali
inventory,inventory,inventor
mmpi,mmp,mmp
luas,luas,luas
dunia,dunia,dunia
psikologi,psikologi,kol
klinis,klinis,ini
seleksi,seleksi,eks
pekerjaan,kerja,kerja
berisiko,risiko,isi
membantu,membantu,ban
mengidentifikasi,mengidentifikas,den
potensi,potensi,pot
psikologis,psikologis,kol
gangguan,ganggu,gang
kepribadian,pribadi,adi
kecenderungan,cenderung,cenderung
agresif,agresif,agresi
tersembunyi,tersembuny,bun
diterapkan,terap,era
bijak,bijak,bijak
tes,tes,es
pagar,pagar,aga
mencegah,mencegah,cegah
orang,orang,orang
orang,orang,orang
risiko,risiko,isi
masuk,masuk,asu
sistem,sistem,sis
pendidikan,pendidi,pen
menuntut,menuntut,menu
stabilitas,stabilitas,ili
emosi,emosi,emosi
kemampuan,mampu,ampu
relasi,relasi,asi
interpersonal,interpersonal,nal
solusi,solusi,lus
saran,saran,ara
reformasi,reformasi,asi
sistem,sistem,sis
ppds,ppds,ppds
keharusan,harus,aru
opsi,opsi,opsi
pemerintah,pemerin,meri
kementerian,menteri,ente
kesehatan,sehat,seh
kementerian,menteri,ente
pendidikan,pendidi,pen
sains,sains,ain
teknologi,teknologi,log
langkah,langkah,angka
konkret,konkret,konkret
berulang,berulang,beru
sistem,sistem,sis
berpihak,berpihak,hak
keselamatan,selamat,ama
pertumbuhan,pertumbuh,per
peserta,serta,serta
didik,didik,didik
langkah,langkah,angka
konkret,konkret,konkret
diterapkan,terap,era
1,1,1
penegasan,penegas,gas
status,status,atus
hukum,hukum,hukum
ppds,ppds,ppds
pemerintah,pemerin,meri
menetapkan,menetap,eta
status,status,atus
hukum,hukum,hukum
ppds,ppds,ppds
dibiarkan,biar,biar
mengambang,mengambang,ambang
mahasiswa,mahasiswa,asi
tenaga,tenaga,aga
kerja,kerja,kerja
status,status,atus
hak,hak,hak
perlindungan,perlindung,dung
batasan,batas,atas
kewajiban,wajib,aji
adil,adil,adi
hukum,hukum,hukum
2,2,2
mekanisme,mekanisme,ani
pelaporan,lapor,apo
aman,aman,ama
independent,independent,den
rumah,rumah,mah
sakit,sakit,aki
pendidikan,pendidi,pen
institusi,institusi,institusi
kedokteran,dokter,dok
wajib,wajib,aji
memiliki,milik,ili
unit,unit,uni
pengaduan,pengadu,adu
independen,independen,den
berpihak,berpihak,hak
korban,korban,ban
memiliki,milik,ili
kekuatan,kuat,kuat
mengintervensi,mengintervens,gin
anonimitas,anonimitas,anonim
keamanan,aman,ama
pelapor,lapor,apo
tindakan,tinda,tin
responsif,responsif,es
standar,standar,anda
3,3,3
tes,tes,es
kejiwaan,jiwa,jiwa
konseling,konseling,eling
psikologis,psikologis,kol
berkala,berkala,ala
asesmen,asesmen,es
psikologis,psikologis,kol
mmpi,mmp,mmp
syarat,syarat,ara
wajib,wajib,aji
proses,proses,es
seleksi,seleksi,eks
calon,calon,alon
residen,residen,den
situ,situ,itu
pendampingan,pendamping,dam
psikologis,psikologis,kol
berkala,berkala,ala
pendidikan,pendidi,pen
diinstitusikan,institusi,institusi
dianggap,anggap,angga
beban,beban,ban
tujuannya,tuju,tuju
mencari,mencar,mencar
cari,cari,ari
kelemahan,lemah,lem
mental,mental,mental
membantu,membantu,ban
peserta,serta,serta
didik,didik,didik
memahami,memaham,ham
batas,batas,atas
stresnya,stres,es
mengenali,mengenal,gen
emosi,emosi,emosi
memproses,memproses,es
tekanan,kanan,ana
sehat,sehat,seh
konseling,konseling,eling
tanda,tanda,anda
lemah,lemah,lem
pelatihan,latih,ati
dokter,dokter,dok
utuh,utuh,utuh
disebabkan,sebab,bab
merawat,rawat,awa
orang,orang,orang
dirawat,rawat,awa
menanamkan,menanam,ana
etika,etika,etik
hierarki,hierarki,era
toksik,toksik,ksi
salah,salah,ala
akar,akar,akar
terbesar,terbesar,besar
sistem,sistem,sis
pendidikan,pendidi,pen
dokter,dokter,dok
spesialis,spesialis,ali
indonesia,indonesia,don
budaya,budaya,budaya
senioritas,senioritas,rit
jarang,jarang,ara
berubah,rubah,bah
kekuasaan,kuasa,asa
etika,etika,etik
tumbuh,tumbuh,tum
takut,takut,aku
peneladanan,peneladan,ada
dialog,dialog,dia
sehat,sehat,seh
membangun,membangun,ban
model,model,mode
relasi,relasi,asi
berdasarkan,berdasar,asa
hierarki,hierarki,era
prinsip,prinsip,prinsip
dasar,dasar,asa
1,1,1
respect,respect,es
takut,takut,aku
muda,muda,mu
menghormati,menghormat,hormat
tua,tua,tua
takut,takut,aku
dibentak,bentak,benta
diintimidasi,diintimidas,das
menghargai,mengharga,harga
ilmu,ilmu,ilmu
pengalaman,pengalam,ala
dedikasi,dedikasi,asi
tua,tua,tua
pembimbing,pembimbing,bimbing
kaka,kaka,kak
kelas,kelas,ela
sadar,sadar,ada
hormat,hormat,hormat
dipaksa,paksa,aksa
ditumbuhkan,tumbuh,tum
keteladanan,teladan,ada
kebaikan,kebai,kebai
keadilan,adil,adi
2,2,2
sistem,sistem,sis
mentoring,mentoring,mentor
formal,formal,forma
senioritas,senioritas,rit
digantikan,ganti,anti
mentoring,mentoring,mentor
peserta,serta,serta
didik,didik,didik
menjalani,menjalan,ala
pendidikan,pendidi,pen
diarahkan,arah,ara
mentor,mentor,mentor
penguasa,penguasa,asa
informal,informal,forma
dibekali,bekal,bek
pelatihan,latih,ati
komunikasi,komunikasi,asi
etika,etika,etik
tanggung,tanggung,anggun
pembina,pembina,bin
karakter,karakter,ara
penjaga,penjaga,aga
tradisi,tradisi,adi
keras,keras,era
3,3,3
evaluasi,evaluasi,alu
etika,etika,etik
budaya,budaya,budaya
semester,semester,es
ujian,uji,uji
akademik,akademik,adem
evaluasi,evaluasi,alu
iklim,iklim,iklim
etik,etik,etik
psikososial,psikososial,psi
lingkungan,lingkung,kung
pendidikan,pendidi,pen
spesialis,spesialis,ali
berkala,berkala,ala
peserta,serta,serta
aman,aman,ama
nilai,nilai,ilai
menghargai,mengharga,harga
dijalankan,jalan,ala
survei,survei,survei
dijadikan,jadi,adi
dasar,dasar,asa
reformasi,reformasi,asi
internal,internal,intern
berkelanjutan,berkelanjut,anju
mendidik,mendidik,didik
nilai,nilai,ilai
ilmu,ilmu,ilmu
pendidikan,pendidi,pen
kedokteran,dokter,dok
mencetak,mencetak,cetak
dokter,dokter,dok
keterampilan,terampil,era
klinis,klinis,ini
mumpuni,mumpuni,mu
membentuk,membentuk,bentuk
pribadi,pribadi,adi
mendengar,mendengar,den
memahami,memaham,ham
merawat,rawat,awa
manusia,manusia,anu
empati,empati,ati
rumah,rumah,mah
sakit,sakit,aki
alat,alat,ala
tercanggih,tercanggih,cang
lulusan,lulus,lulus
nilai,nilai,ilai
akademik,akademik,adem
terbaik,terbaik,baik
sistemnya,sistem,sis
membiarkan,membiar,biar
kekerasan,keras,era
membungkam,membungkam,bun
korban,korban,ban
memproduksi,memproduks,duk
dokter,dokter,dok
dokter,dokter,dok
dingin,dingin,din
moral,moral,moral
gagal,gagal,aga
bangsa,bangsa,angsa
mengganti,menggant,enggan
kultur,kultur,kult
kekerasan,keras,era
kultur,kultur,kult
kepedulian,peduli,duli
diterapkan,terap,era
menghapus,menghapus,apu
nilai,nilai,ilai
nilai,nilai,ilai
luhur,luhur,luhur
hormat,hormat,hormat
disiplin,disiplin,disiplin
pengabdian,pengabdi,abdi
menata,menata,mena
ulang,ulang,lang
sistem,sistem,sis
dokter,dokter,dok
profesional,profesional,es
manusia,manusia,anu
seutuhnya,utuh,utuh
sistem,sistem,sis
kesehatan,sehat,seh
indonesia,indonesia,don
kuat,kuat,kuat
investasinya,investasi,asi
didik,didik,didik
berhenti,berhent,berhent
menutup,menutup,menu
mata,mata,mat
jas,jas,jas
putih,putih,puti
jiwa,jiwa,jiwa
diselamatkan,selamat,ama
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
mengalami,mengalam,ala
tekanan,kanan,ana
berat,berat,bera
mendekati,mendekat,dek
rp,rp,rp
17,17,17
000,000,000
dollar,dollar,dol
as,as,as
level,level,level
krisis,krisis,isi
moneter,moneter,eter
1998,1998,1998
fundamental,fundamental,amen
ekonomi,ekonomi,ekon
indonesia,indonesia,don
pertumbuhan,pertumbuh,per
ekonomi,ekonomi,ekon
5,5,5
persen,persen,per
inflasi,inflasi,asi
rendah,rendah,dah
deflasi,deflasi,asi
ditambah,tambah,ambah
neraca,neraca,era
perdagangan,perdagang,aga
surplus,surplus,lus
58,58,58
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
terkait,terkait,kait
masuk,masuk,asu
keluarnya,keluar,elu
modal,modal,dal
pasar,pasar,asa
keuangan,uang,uan
aliran,alir,ali
modal,modal,dal
pasar,pasar,asa
modal,modal,dal
obligasi,obligasi,asi
menyebabkan,menyebab,bab
indeks,indeks,dek
harga,harga,harga
saham,saham,ham
gabungan,gabung,abu
ihsg,ihsg,ihsg
bursa,bursa,bur
efek,efek,efek
indonesia,indonesia,don
anjlok,anjlok,anjlok
imbal,imbal,bal
hasil,hasil,asi
yield,yield,yield
surat,surat,rat
utang,utang,tan
negara,negara,ara
sun,sun,sun
bertenor,bertenor,tenor
sepuluh,puluh,pul
signifikan,signifikan,ikan
7,7,7
persen,persen,per
kebijakan,kebija,ebi
tarif,tarif,ari
bea,bea,bea
masuk,masuk,asu
produk,produk,duk
impor,impor,impor
diterapkan,terap,era
presiden,presiden,den
as,as,as
donald,donald,don
trump,trump,rum
menyebabkan,menyebab,bab
pelarian,lari,ari
modal,modal,dal
negara,negara,ara
berkembang,berkembang,ban
indonesia,indonesia,don
internal,internal,intern
realokasi,realokasi,alokasi
anggaran,anggar,angga
negara,negara,ara
program,program,gram
makan,makan,akan
bergizi,bergiz,erg
gratis,gratis,ati
pemerintahan,pemerintah,meri
prabowo,prabowo,bowo
memicu,memicu,mem
kekhawatiran,khawatir,ati
melemahkan,lemah,lem
pertumbuhan,pertumbuh,per
ekonomi,ekonomi,ekon
indonesia,indonesia,don
pembentukan,pembentu,pembentu
danantara,danantara,ana
mengalihkan,mengalih,ali
aset,aset,aset
dividen,dividen,den
bumn,bumn,bum
sovereign,sovereign,over
wealth,wealth,wealth
fund,fund,fund
swf,swf,swf
dikhawatirkan,khawatir,ati
melemahkan,lemah,lem
kinerja,kinerja,kinerja
bumn,bumn,bum
memunculkan,muncul,mu
potensi,potensi,pot
penyalahgunaan,penyalahguna,ala
bumn,bumn,bum
pemerintah,pemerin,meri
kebijakan,kebija,ebi
program,program,gram
ditambah,tambah,ambah
hilirisasi,hilirisas,hilir
menaikkan,naik,naik
pertumbuhan,pertumbuh,per
ekonomi,ekonomi,ekon
indonesia,indonesia,don
8,8,8
persen,persen,per
meragukan,ragu,ragu
presiden,presiden,den
prabowo,prabowo,bowo
khawatir,khawatir,ati
pelemahan,lemah,lem
indeks,indeks,dek
saham,saham,ham
menyebabkan,menyebab,bab
aliran,alir,ali
modal,modal,dal
memicu,memicu,mem
pelemahan,lemah,lem
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
signifikan,signifikan,ikan
presiden,presiden,den
ekonomi,ekonomi,ekon
masyarakat,masyarakat,ara
kebanyakan,kebanya,ban
berjalan,berjal,berjal
menteri,menteri,ente
ekonomi,ekonomi,ekon
mengkhawatirkan,mengkhawatir,ati
fundamental,fundamental,amen
ekonomi,ekonomi,ekon
diandalkan,andal,anda
pelemahan,lemah,lem
rupiah,rupiah,piah
berkelanjutan,berkelanjut,anju
ketidakpastian,ketidakpasti,ida
mengganggu,mengganggu,enggan
kegiatan,giat,giat
perekonomian,perekonomi,ekon
nilai,nilai,ilai
mata,mata,mat
uang,uang,uan
harga,harga,harga
relatif,relatif,ati
mata,mata,mat
uang,uang,uan
dollar,dollar,dol
as,as,as
melemah,lemah,lem
tajam,tajam,aja
stabil,stabil,stabil
memengaruhi,memengaruh,aru
fundamental,fundamental,amen
perekonomian,perekonomi,ekon
ditambah,tambah,ambah
tekanan,kanan,ana
tarif,tarif,ari
as,as,as
memberatkan,memberat,bera
mengancam,mengancam,anca
neraca,neraca,era
perdagangan,perdagang,aga
kewibawaan,wibawa,awa
kebijakan,kebija,ebi
nilai,nilai,ilai
rupiah,rupiah,piah
ditentukan,tentu,tentu
penawaran,penawar,awa
permintaan,perminta,mi
persepsi,persepsi,per
ekspektasi,ekspektas,eks
pelaku,pela,ela
ekonomi,ekonomi,ekon
investor,investor,es
sektor,sektor,sek
keuangan,uang,uan
menentukan,menentu,menentu
dominan,dominan,dom
sayangnya,sayang,ayan
persepsi,persepsi,per
rupiah,rupiah,piah
cenderung,cenderung,cenderung
menganggap,menganggap,angga
rupiah,rupiah,piah
mata,mata,mat
uang,uang,uan
lemah,lemah,lem
diandalkan,andal,anda
ekspektasi,ekspektas,eks
rupiah,rupiah,piah
cenderung,cenderung,cenderung
mengalami,mengalam,ala
pelemahan,lemah,lem
anggaran,anggar,angga
pemerintah,pemerin,meri
rencana,rencana,ana
bisnis,bisnis,bis
perusahaan,perusaha,eru
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
diproyeksikan,proyeksi,eks
mengalami,mengalam,ala
pelemahan,lemah,lem
bank,bank,ban
indonesia,indonesia,don
bi,b,b
meredam,redam,dam
volatilitas,volatilitas,ati
nilai,nilai,ilai
rupiah,rupiah,piah
menjaga,menjaga,aga
depresiasi,depresiasi,asi
melebihi,lebih,ebi
persentase,persentase,entas
persepsi,persepsi,per
ekspektasi,ekspektas,eks
negatif,negatif,ati
nilai,nilai,ilai
tukar,tukar,tuk
melemah,lemah,lem
pelemahan,lemah,lem
fundamental,fundamental,amen
ekonomi,ekonomi,ekon
taruhan,taruh,aru
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
dipengaruhi,pengaruh,aru
kewibawaan,wibawa,awa
bi,b,b
otoritas,otoritas,oto
bertanggung,bertanggung,anggun
stabilitas,stabilitas,ili
rupiah,rupiah,piah
bi,b,b
dinilai,nila,nila
independen,independen,den
membiayai,membiaya,biaya
defisit,defisit,defisit
anggaran,anggar,angga
bersifat,bersifat,sif
pandemi,pandemi,demi
berkelanjutan,berkelanjut,anju
era,era,era
pemerintahan,pemerintah,meri
prabowo,prabowo,bowo
26,26,26
persen,persen,per
sun,sun,sun
dipegang,pegang,gang
bi,b,b
24,24,24
persen,persen,per
dipegang,pegang,gang
perbankan,perban,ban
kondisi,kondisi,isi
berbeda,berbeda,beda
indonesia,indonesia,don
berupaya,berupaya,beru
mengatasi,mengatas,atas
krisis,krisis,isi
1998,1998,1998
bi,b,b
independen,independen,den
langkah,langkah,angka
rekapitalisasi,rekapitalisasi,ali
perbankan,perban,ban
stabilisasi,stabilisasi,asi
inflasi,inflasi,asi
kredibilitas,kredibilitas,ili
bi,b,b
bangkit,bangkit,angkit
berperan,berper,per
rupiah,rupiah,piah
menguat,menguat,gua
signifikan,signifikan,ikan
presiden,presiden,den
bj,bj,bj
habibie,habibie,bibi
ekonomi,ekonomi,ekon
rupiahnya,rupiah,piah
pesawat,pesawat,awa
terbang,terbang,ban
jatuh,jatuh,jatuh
bebas,bebas,bas
stahl,stahl,stahl
distabilkan,stabil,stabil
terbang,terbang,ban
menanjak,menanjak,anja
ascend,ascend,ascend
menjelajah,menjelajah,aja
cruising,cruising,isi
tujuan,tuju,tuju
kredibilitas,kredibilitas,ili
kebijakan,kebija,ebi
independensi,independens,den
bank,bank,ban
sentral,sentral,sen
menentukan,menentu,menentu
program,program,gram
stabilisasi,stabilisasi,asi
dana,dana,ana
moneter,moneter,eter
internasional,internasional,asi
imf,imf,imf
berat,berat,bera
konsisten,konsisten,konsisten
dijalankan,jalan,ala
kredibilitas,kredibilitas,ili
kebijakan,kebija,ebi
ekonomi,ekonomi,ekon
terpuruk,terpuruk,puruk
dibangkitkan,bangkit,angkit
rupiah,rupiah,piah
menguat,menguat,gua
rp,rp,rp
16,16,16
700,700,700
an,an,an
rp,rp,rp
6,6,6
700,700,700
an,an,an
dollar,dollar,dol
as,as,as
tekanan,kanan,ana
politik,politik,itik
pemerintah,pemerin,meri
mendukung,mendukung,duk
kebijakan,kebija,ebi
programnya,program,gram
sejalan,sejal,eja
prinsip,prinsip,prinsip
ekonomi,ekonomi,ekon
upaya,upaya,paya
menjaga,menjaga,aga
independensi,independens,den
bi,b,b
mengalami,mengalam,ala
kesulitan,sulit,suli
ekonomi,ekonomi,ekon
cadangan,cadang,ada
devisa,devisa,devisa
meningkat,meningkat,meni
melemah,lemah,lem
kewibawaan,wibawa,awa
efektivitas,efektivitas,efek
kebijakan,kebija,ebi
pengenaan,pengena,gen
tarif,tarif,ari
impor,impor,impor
as,as,as
menambah,menambah,ambah
tekanan,kanan,ana
nilai,nilai,ilai
tukar,tukar,tuk
rupiah,rupiah,piah
perekonomian,perekonomi,ekon
menyelaraskan,menyelaras,ara
kebijakan,kebija,ebi
bi,b,b
intervensi,intervensi,intervensi
pasar,pasar,asa
keuangan,uang,uan
menstabilkan,menstabil,mens
nilai,nilai,ilai
tukar,tukar,tuk
mata,mata,mat
uang,uang,uan
langkah,langkah,angka
membutuhkan,membutuh,butuh
biaya,biaya,biaya
menambah,menambah,ambah
beban,beban,ban
volume,volume,lum
cadangan,cadang,ada
devisa,devisa,devisa
kebijakan,kebija,ebi
mewajibkan,wajib,aji
eksportir,eksportir,eks
sumber,sumber,sum
daya,daya,daya
alam,alam,ala
menyimpan,menyimp,nyi
devisa,devisa,devisa
ekspornya,ekspor,eks
negeri,negeri,neger
mengalami,mengalam,ala
peningkatan,peningkat,ning
kewibawaan,wibawa,awa
otoritas,otoritas,oto
moneter,moneter,eter
menentukan,menentu,menentu
stabilitas,stabilitas,ili
rupiah,rupiah,piah
keuangan,uang,uan
kewibawaan,wibawa,awa
ditegakkan,tegak,tega
cadangan,cadang,ada
devisa,devisa,devisa
ditingkatkan,tingkat,tin
intervensi,intervensi,intervensi
pasar,pasar,asa
terukur,terukur,eru
koordinasi,koordinasi,asi
kebijakan,kebija,ebi
